offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,offsetscount,counterscount,maxOffset,maxCounter
2.08425,0.0971562,32,100,10,1,0.001,140,666960,31090,99,1
6.13718,0.0180781,32,100,10,1,0.002,498,1963899,5785,99,1
18.7572,0.02105,32,100,10,1,0.004,1300,6002320,6736,99,1
29.8064,0.0335344,32,100,10,1,0.008,2578,9538050,10731,99,2
31.3215,0.0468281,32,100,10,1,0.016,5116,10022878,14985,99,3
31.5901,0.0847875,32,100,10,1,0.032,10208,10108833,27132,53,3
1.89025,0.0852875,32,100,10,2,0.001,126,604879,27292,99,2
5.98742,0.0147437,32,100,10,2,0.002,472,1915976,4718,99,1
19.5031,0.0165406,32,100,10,2,0.004,1309,6240990,5293,99,1
29.7646,0.0269094,32,100,10,2,0.008,2524,9524675,8611,99,2
31.2023,0.0406937,32,100,10,2,0.016,5172,9984726,13022,98,2
31.5967,0.0781469,32,100,10,2,0.032,10083,10110947,25007,54,3
1.74114,0.081625,32,100,10,4,0.001,130,557165,26120,99,2
5.72855,0.0148125,32,100,10,4,0.002,497,1833136,4740,99,1
18.4698,0.0172469,32,100,10,4,0.004,1255,5910321,5519,99,1
29.7056,0.0297656,32,100,10,4,0.008,2599,9505798,9525,99,2
31.13,0.0425969,32,100,10,4,0.016,5122,9961600,13631,99,3
31.5958,0.0746094,32,100,10,4,0.032,10321,10110644,23875,57,3
2.12068,0.0791,32,100,10,8,0.001,168,678617,25312,99,3
6.23184,0.0164469,32,100,10,8,0.002,496,1994190,5263,99,2
18.2814,0.0104625,32,100,10,8,0.004,1286,5850062,3348,99,1
30.0847,0.0214219,32,100,10,8,0.008,2615,9627088,6855,99,2
31.0206,0.0410812,32,100,10,8,0.016,5130,9926585,13146,98,2
31.4828,0.0700406,32,100,10,8,0.032,10242,10074506,22413,55,3
2.22142,0.0536375,32,100,10,16,0.001,143,710854,17164,99,1
4.99037,0.0194906,32,100,10,16,0.002,426,1596917,6237,99,1
17.6961,0.00835625,32,100,10,16,0.004,1298,5662749,2674,99,1
29.1469,0.0216563,32,100,10,16,0.008,2550,9327004,6930,99,2
31.0983,0.0335781,32,100,10,16,0.016,5130,9951462,10745,99,2
31.4603,0.0661906,32,100,10,16,0.032,10230,10067282,21181,66,4
1.76421,0.085625,32,100,10,32,0.001,122,564548,27400,99,1
6.00785,0.0068,32,100,10,32,0.002,535,1922511,2176,99,1
15.6695,0.00712187,32,100,10,32,0.004,1236,5014255,2279,99,1
28.9406,0.0221938,32,100,10,32,0.008,2604,9260983,7102,99,1
30.9464,0.03695,32,100,10,32,0.016,5208,9902841,11824,99,2
31.3613,0.0691375,32,100,10,32,0.032,10287,10035630,22124,68,3
1.75723,0.137509,32,100,10,64,0.001,97,562313,44003,99,3
5.06257,0.0098,32,100,10,64,0.002,512,1620024,3136,99,1
14.6284,0.00792812,32,100,10,64,0.004,1340,4681090,2537,99,1
27.1194,0.0204125,32,100,10,64,0.008,2536,8678195,6532,99,2
30.6894,0.0357094,32,100,10,64,0.016,5271,9820605,11427,99,3
31.1548,0.0702125,32,100,10,64,0.032,10332,9969542,22468,75,3
5.34799,0.0287781,32,100,20,1,0.001,271,1711357,9209,99,1
17.3009,0.0294187,32,100,20,1,0.002,618,5536286,9414,99,1
28.8932,0.0354375,32,100,20,1,0.004,1347,9245823,11340,99,1
30.4379,0.0546063,32,100,20,1,0.008,2620,9740119,17474,98,2
31.1603,0.0900062,32,100,20,1,0.016,5102,9971308,28802,54,3
31.5754,0.156231,32,100,20,1,0.032,10285,10104121,49994,25,4
5.97122,0.00694687,32,100,20,2,0.001,282,1910792,2223,99,2
17.7077,0.0198844,32,100,20,2,0.002,614,5666455,6363,99,1
28.617,0.0354594,32,100,20,2,0.004,1284,9157425,11347,99,2
30.3126,0.0598844,32,100,20,2,0.008,2527,9700026,19163,95,2
31.1893,0.0862594,32,100,20,2,0.016,5004,9980571,27603,67,3
31.6292,0.147078,32,100,20,2,0.032,10240,10121342,47065,27,4
5.88025,0.0033375,32,100,20,4,0.001,231,1881679,1068,99,1
18.0727,0.0345125,32,100,20,4,0.002,639,5783278,11044,99,1
28.1789,0.0307688,32,100,20,4,0.004,1282,9017259,9846,99,2
30.3488,0.0467594,32,100,20,4,0.008,2617,9711627,14963,99,3
31.1681,0.0850469,32,100,20,4,0.016,5188,9973781,27215,53,3
31.5643,0.144331,32,100,20,4,0.032,10312,10100582,46186,28,4
5.88157,0.0140062,32,100,20,8,0.001,258,1882103,4482,99,1
16.62,0.0180125,32,100,20,8,0.002,613,5318407,5764,99,1
27.6923,0.0248656,32,100,20,8,0.004,1251,8861538,7957,99,1
30.6432,0.045325,32,100,20,8,0.008,2555,9805819,14504,97,2
31.1721,0.0699031,32,100,20,8,0.016,5003,9975077,22369,49,3
31.5627,0.132875,32,100,20,8,0.032,10042,10100075,42520,28,4
5.27437,0.0166875,32,100,20,16,0.001,267,1687798,5340,99,1
17.4191,0.014775,32,100,20,16,0.002,643,5574098,4728,99,1
28.1097,0.0196875,32,100,20,16,0.004,1276,8995112,6300,99,1
30.3981,0.0444594,32,100,20,16,0.008,2548,9727381,14227,93,2
31.0199,0.0783125,32,100,20,16,0.016,5129,9926356,25060,49,3
31.4641,0.128275,32,100,20,16,0.032,10159,10068499,41048,29,5
5.51548,0.0190344,32,100,20,32,0.001,298,1764954,6091,99,1
18.0945,0.00648437,32,100,20,32,0.002,685,5790244,2075,99,1
27.777,0.0203656,32,100,20,32,0.004,1317,8888647,6517,99,2
30.1571,0.0383781,32,100,20,32,0.008,2614,9650272,12281,97,3
30.9386,0.0700188,32,100,20,32,0.016,5172,9900342,22406,58,3
31.3539,0.131319,32,100,20,32,0.032,10223,10033240,42022,34,4
5.73051,0.00597813,32,100,20,64,0.001,256,1833764,1913,99,1
15.3951,0.018,32,100,20,64,0.002,665,4926421,5760,99,1
26.5531,0.0172125,32,100,20,64,0.004,1204,8496998,5508,99,2
29.6508,0.0300781,32,100,20,64,0.008,2559,9488242,9625,99,2
30.5687,0.069925,32,100,20,64,0.016,5141,9781977,22376,67,3
31.104,0.135528,32,100,20,64,0.032,10223,9953285,43369,42,4
11.5072,0.0302406,32,100,30,1,0.001,321,3682303,9677,99,1
24.2202,0.0340781,32,100,30,1,0.002,649,7750472,10905,99,1
28.754,0.0369062,32,100,30,1,0.004,1286,9201287,11810,99,2
30.5982,0.0686656,32,100,30,1,0.008,2643,9791439,21973,63,3
31.3389,0.120263,32,100,30,1,0.016,5088,10028458,38484,34,4
31.642,0.210191,32,100,30,1,0.032,10359,10125441,67261,19,5
8.08494,0.00798437,32,100,30,2,0.001,235,2587181,2555,99,1
24.7943,0.0239344,32,100,30,2,0.002,667,7934163,7659,99,1
28.593,0.0550375,32,100,30,2,0.004,1288,9149771,17612,99,2
30.35,0.0699688,32,100,30,2,0.008,2630,9711986,22390,67,2
31.1591,0.126137,32,100,30,2,0.016,5130,9970910,40364,36,4
31.5999,0.205975,32,100,30,2,0.032,10179,10111977,65912,19,5
12.4825,0.01035,32,100,30,4,0.001,349,3994415,3312,99,1
24.2393,0.0278313,32,100,30,4,0.002,660,7756567,8906,99,2
28.2226,0.0353156,32,100,30,4,0.004,1257,9031246,11301,99,2
30.4069,0.0713375,32,100,30,4,0.008,2575,9730207,22828,74,3
31.1359,0.112047,32,100,30,4,0.016,5049,9963472,35855,33,3
31.5268,0.193403,32,100,30,4,0.032,10154,10088583,61889,19,5
11.8598,0.0199125,32,100,30,8,0.001,345,3795136,6372,99,1
24.1164,0.0194812,32,100,30,8,0.002,690,7717237,6234,99,2
28.9755,0.0374875,32,100,30,8,0.004,1306,9272146,11996,99,2
30.2603,0.0720219,32,100,30,8,0.008,2536,9683309,23047,64,3
31.1688,0.116019,32,100,30,8,0.016,5350,9974014,37126,33,5
31.5096,0.193244,32,100,30,8,0.032,10201,10083088,61838,20,5
12.6339,0.0206906,32,100,30,16,0.001,341,4042834,6621,99,1
23.2667,0.021375,32,100,30,16,0.002,633,7445344,6840,99,1
28.8686,0.0365969,32,100,30,16,0.004,1252,9237953,11711,99,2
30.4545,0.0572563,32,100,30,16,0.008,2552,9745456,18322,67,2
31.0498,0.100075,32,100,30,16,0.016,5061,9935921,32024,35,4
31.5131,0.189987,32,100,30,16,0.032,10328,10084183,60796,20,5
9.05908,0.0128906,32,100,30,32,0.001,283,2898907,4125,99,1
23.6571,0.0208281,32,100,30,32,0.002,662,7570258,6665,99,1
28.2632,0.0334594,32,100,30,32,0.004,1344,9044233,10707,99,2
30.18,0.0553562,32,100,30,32,0.008,2607,9657594,17714,66,2
30.939,0.101737,32,100,30,32,0.016,5139,9900467,32556,40,3
31.2761,0.183794,32,100,30,32,0.032,10201,10008365,58814,20,5
9.84945,0.0186156,32,100,30,64,0.001,295,3151823,5957,99,1
21.7882,0.00941562,32,100,30,64,0.002,633,6972208,3013,99,1
28.4777,0.0246562,32,100,30,64,0.004,1304,9112859,7890,99,2
29.9192,0.0577094,32,100,30,64,0.008,2519,9574141,18467,89,4
30.7603,0.103744,32,100,30,64,0.016,5077,9843302,33198,42,3
31.0988,0.184772,32,100,30,64,0.032,10283,9951603,59127,27,6
16.261,0.0235562,32,100,40,1,0.001,340,5203505,7538,99,1
24.2987,0.0336281,32,100,40,1,0.002,617,7775581,10761,99,2
29.1048,0.0580625,32,100,40,1,0.004,1257,9313529,18580,88,2
30.6145,0.0821281,32,100,40,1,0.008,2554,9796639,26281,48,3
31.2467,0.155884,32,100,40,1,0.016,5082,9998960,49883,31,4
31.6161,0.259753,32,100,40,1,0.032,10203,10117164,83121,15,5
17.2404,0.025625,32,100,40,2,0.001,330,5516929,8200,99,1
25.2765,0.056275,32,100,40,2,0.002,601,8088489,18008,99,1
28.8717,0.0522938,32,100,40,2,0.004,1309,9238938,16734,93,3
30.5369,0.0906469,32,100,40,2,0.008,2515,9771815,29007,53,3
31.2557,0.155678,32,100,40,2,0.016,5087,10001813,49817,25,4
31.5954,0.248419,32,100,40,2,0.032,10217,10110519,79494,17,6
13.269,0.0423312,32,100,40,4,0.001,308,4246080,13546,99,1
25.6802,0.0420406,32,100,40,4,0.002,641,8217666,13453,99,1
28.7664,0.0530281,32,100,40,4,0.004,1233,9205246,16969,99,2
30.3219,0.0791969,32,100,40,4,0.008,2541,9702994,25343,56,4
31.1571,0.144287,32,100,40,4,0.016,5155,9970257,46172,26,4
31.6167,0.246544,32,100,40,4,0.032,10408,10117347,78894,14,6
14.4044,0.0154531,32,100,40,8,0.001,320,4609419,4945,99,1
24.4415,0.03985,32,100,40,8,0.002,635,7821281,12752,99,1
28.7393,0.0515562,32,100,40,8,0.004,1274,9196585,16498,84,2
30.4343,0.0829063,32,100,40,8,0.008,2656,9738968,26530,48,3
31.2847,0.147537,32,100,40,8,0.016,5089,10011117,47212,24,4
31.5547,0.237253,32,100,40,8,0.032,10280,10097501,75921,14,6
14.2039,0.0264469,32,100,40,16,0.001,319,4545252,8463,99,1
25.852,0.0130469,32,100,40,16,0.002,675,8272635,4175,99,1
28.4308,0.0427375,32,100,40,16,0.004,1240,9097864,13676,97,2
