offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,offsetscount,counterscount,maxOffset,maxCounter
2.05765,0.142838,32,100,10,1,0.001,1177,6584477,457082,99,6
5.88841,0.0271644,32,100,10,1,0.002,4406,18842898,86926,99,3
18.7251,0.0201006,32,100,10,1,0.004,12477,59920445,64322,99,2
31.0499,0.0320228,32,100,10,1,0.008,25505,99359812,102473,99,3
31.921,0.0504419,32,100,10,1,0.016,51317,102147203,161414,99,3
31.9663,0.0848753,32,100,10,1,0.032,102855,102292227,271601,62,5
1.7293,0.1824,32,100,10,2,0.001,899,5533761,583679,99,7
5.84072,0.0274075,32,100,10,2,0.002,4210,18690314,87704,99,4
20.1727,0.0207128,32,100,10,2,0.004,12972,64552630,66281,99,2
31.0357,0.0311575,32,100,10,2,0.008,25557,99314080,99704,99,3
31.9255,0.0477653,32,100,10,2,0.016,51245,102161560,152849,99,3
31.9645,0.0814322,32,100,10,2,0.032,102352,102286459,260583,65,4
2.01407,0.149579,32,100,10,4,0.001,1162,6445013,478653,99,5
5.98161,0.0274544,32,100,10,4,0.002,4660,19141141,87854,99,4
19.0125,0.0194313,32,100,10,4,0.004,12603,60840119,62180,99,2
30.9771,0.0251641,32,100,10,4,0.008,25436,99126611,80525,99,2
31.9184,0.0428697,32,100,10,4,0.016,51121,102138742,137183,99,3
31.9584,0.0748184,32,100,10,4,0.032,101996,102266913,239419,71,3
1.79178,0.160962,32,100,10,8,0.001,1052,5733684,515077,99,7
5.84706,0.0272988,32,100,10,8,0.002,4563,18710579,87356,99,13
19.2325,0.0155944,32,100,10,8,0.004,12843,61543854,49902,99,2
30.9664,0.0197991,32,100,10,8,0.008,25647,99092448,63357,99,2
31.9028,0.0379934,32,100,10,8,0.016,51020,102089060,121579,99,4
31.9526,0.069775,32,100,10,8,0.032,102322,102248221,223280,65,4
2.04508,0.147378,32,100,10,16,0.001,1201,6544258,471611,99,8
5.91005,0.022505,32,100,10,16,0.002,4553,18912149,72016,99,3
18.4858,0.0162722,32,100,10,16,0.004,12763,59154641,52071,99,2
30.7548,0.0190519,32,100,10,16,0.008,25676,98415374,60966,99,2
31.9158,0.0363309,32,100,10,16,0.016,50891,102130476,116259,99,3
31.9464,0.0689184,32,100,10,16,0.032,102332,102228354,220539,66,4
2.0932,0.139903,32,100,10,32,0.001,1211,6698246,447689,99,8
5.69149,0.0279747,32,100,10,32,0.002,4538,18212756,89519,99,6
17.0734,0.00985,32,100,10,32,0.004,12543,54634764,31520,99,2
30.2808,0.0175728,32,100,10,32,0.008,25489,96898504,56233,99,2
31.888,0.0347975,32,100,10,32,0.016,51174,102041485,111352,99,3
31.9372,0.0686178,32,100,10,32,0.032,102054,102199182,219577,75,4
1.85888,0.147223,32,100,10,64,0.001,1090,5948401,471113,99,10
