offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,avg_send_time,avg_recv_time,system_clock_time
0.266608,4.00004,32,100,10,1,0.0001,41,1939.02,314.228,1600
0.247059,4.00004,32,100,10,1,0.0002,78,1294.87,364.124,1400
1.40597,4.00004,32,100,10,1,0.0004,228,1077.63,347.259,2400
3.68314,4.00004,32,100,10,1,0.0008,746,850.67,369.507,1000
38.6785,4.00004,32,100,10,1,0.0016,3088,705.829,360.607,1000
36.487,4.00004,32,100,10,1,0.0032,9781,598.415,354.3,900
0.201077,4.00004,32,100,10,2,0.0001,42,1623.81,305.754,1000
0.392866,4.00004,32,100,10,2,0.0002,83,1430.12,406.928,1000
0.984707,4.00004,32,100,10,2,0.0004,218,1146.33,383.16,1000
6.34996,4.00004,32,100,10,2,0.0008,656,996.189,351.433,900
33.566,4.00004,32,100,10,2,0.0016,2737,621.63,342.286,800
39.5144,4.00004,32,100,10,2,0.0032,9454,582.801,335.076,800
0.142333,4.00004,32,100,10,4,0.0001,34,2444.12,195.588,1500
0.663092,4.00004,32,100,10,4,0.0002,71,1428.17,341.315,1100
0.694292,4.00004,32,100,10,4,0.0004,243,985.185,327.007,1000
9.41675,4.00004,32,100,10,4,0.0008,679,786.303,353.392,900
31.8922,4.00004,32,100,10,4,0.0016,2783,792.131,368.828,900
37.4192,4.00004,32,100,10,4,0.0032,9555,575.154,344.22,800
0.344522,4.00004,32,100,10,8,0.0001,37,1562.16,350,900
0.207078,4.00004,32,100,10,8,0.0002,77,1225.97,420.887,1000
3.79711,4.00004,32,100,10,8,0.0004,255,945.098,336.879,800
3.32995,4.00004,32,100,10,8,0.0008,629,878.696,364.954,900
38.4263,4.00004,32,100,10,8,0.0016,2781,643.366,341.151,900
39.5346,4.00004,32,100,10,8,0.0032,9535,553.078,328.597,800
0.167942,4.00004,32,100,10,16,0.0001,43,1344.19,352.907,1500
0.614112,4.00004,32,100,10,16,0.0002,122,1053.28,315.301,1000
4.29868,4.00004,32,100,10,16,0.0004,329,844.985,413.171,1000
17.4005,4.00004,32,100,10,16,0.0008,641,879.563,364.155,900
29.5603,4.00004,32,100,10,16,0.0016,2446,647.016,372.759,800
37.5046,4.00004,32,100,10,16,0.0032,9351,565.843,336.171,800
0.304884,4.00004,32,100,10,32,0.0001,36,1708.33,266.435,1200
0.200189,4.00004,32,100,10,32,0.0002,70,1210,377.024,1200
1.09892,4.00004,32,100,10,32,0.0004,216,992.13,455.478,1900
14.1689,4.00004,32,100,10,32,0.0008,781,796.799,354.858,900
30.9337,4.00004,32,100,10,32,0.0016,2814,653.198,352.603,800
37.5047,4.00004,32,100,10,32,0.0032,9836,564.986,338.035,800
0.258515,4.00004,32,100,10,64,0.0001,36,1516.67,598.333,1000
0.218622,4.00004,32,100,10,64,0.0002,80,1256.25,350.937,900
