offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,offsetscount,counterscount,maxOffset,maxCounter,avg_send_time,avg_recv_time,system_clock_time
0.808062,0,32,100,10,1,0.0002,29,258580,0,85,0,5917.24,8155.17,2900
0.831381,0,32,100,10,2,0.0001,12,266042,0,0,0,4541.67,6987.5,3300
0.887228,0,32,100,10,32,0.0001,13,283913,0,0,0,3776.92,4884.62,2400
0.913797,0,32,100,10,64,0.0001,20,292415,0,89,0,3775,4430,2900
1.07784,0,32,100,20,1,0.0001,25,344908,0,76,0,6420,5390,2500
1.03024,0,32,100,20,4,0.0001,27,329677,0,87,0,3822.22,5790.74,2600
0.974,0,32,100,20,64,0.0001,18,311680,0,58,0,3472.22,4194.44,2600
1.15271,0,32,100,40,8,0.0001,25,368866,0,87,0,3776,8588,2900
1.2154,0,32,100,50,1,0.0001,24,388927,0,91,0,3362.5,5979.17,2700
1.50622,0.0181125,32,100,60,1,0.0001,36,481992,5796,98,1,3505.56,5704.17,2700
1.44704,0.000221875,32,100,60,8,0.0001,35,463053,71,93,1,3628.57,9285.71,1900
1.54364,0.0175688,32,150,40,8,0.0001,30,493964,5622,143,1,2503.33,5511.67,2000
1.7474,0.0099125,32,150,40,16,0.0002,40,559169,3172,149,1,2920,5758.75,2100
0.831134,0,32,200,5,64,0.0001,18,265963,0,72,0,2461.11,3502.78,1400
0.9322,0,32,200,10,1,0.0002,24,298304,0,190,0,3362.5,4668.75,2500
0.991066,0,32,200,10,4,0.0002,28,317141,0,171,0,3196.43,4917.86,2500
1.15041,0.0210781,32,200,15,1,0.0001,21,368131,6745,193,1,3661.9,6828.57,2400
1.19596,0,32,200,15,8,0.0001,31,382708,0,176,0,3019.35,6390.32,1600
1.63018,0,32,200,15,8,0.0002,41,521657,0,197,0,3553.66,6543.9,3000
1.25484,0,32,200,20,16,0.0001,24,401550,0,181,0,3654.17,7177.08,1900
1.47561,0,32,200,20,32,0.0001,28,472196,0,185,0,3557.14,7864.29,2800
1.36157,0,32,200,20,128,0.0001,27,435702,0,193,0,3525.93,7461.11,2700
1.64908,0.00293438,32,200,20,128,0.0002,40,527707,939,199,1,2692.5,6653.75,3400
1.35052,0.0112156,32,200,25,2,0.0001,26,432166,3589,195,1,3650,7228.85,3100
2.41838,0.0207938,32,200,25,4,0.0002,52,773882,6654,199,1,3482.69,11102.9,2300
1.25209,0,32,200,30,1,0.0001,24,400669,0,179,0,3679.17,8735.42,2900
0.929563,0,32,250,4,32,0.0001,20,297460,0,220,0,3370,6515,2600
1.05029,0,32,250,8,2,0.0001,25,336092,0,248,0,3388,5858,1500
0.959084,0,32,250,8,8,0.0001,18,306907,0,198,0,3061.11,6375,2800
1.01548,0.0192781,32,250,12,2,0.0001,15,324954,6169,227,1,4873.33,6730,4500
0.938331,0,32,250,12,8,0.0001,19,300266,0,147,0,3478.95,6139.47,2900
1.07477,0,32,250,12,16,0.0001,19,343928,0,249,0,3242.11,6110.53,6100
1.2267,0,32,250,16,4,0.0001,26,392544,0,244,0,6873.08,7265.38,2600
1.28503,0.015825,32,250,16,8,0.0001,25,411208,5064,249,1,3796,8016,2300
1.04493,0,32,250,16,64,0.0001,19,334378,0,230,0,2694.74,5089.47,3000
1.27499,0,32,250,20,64,0.0001,25,407997,0,246,0,3344,7216,2000
1.3266,0.0124844,32,250,24,2,0.0001,33,424513,3995,245,1,2000,5404.55,1600
1.49406,0.00550313,32,250,24,32,0.0001,31,478099,1761,233,1,3554.84,8518.28,2900
1.23056,0,32,300,10,16,0.0001,21,393779,0,285,0,3938.1,6752.38,2000
1.41183,0.0107687,32,300,20,4,0.0001,30,451786,3446,291,1,2926.67,4445,1500
1.3788,0,32,300,20,64,0.0001,25,441217,0,299,0,2464,5692,2700
1.3272,0,32,400,10,4,0.0001,23,424704,0,399,0,2008.7,4065.22,4500
1.13887,0,32,400,10,8,0.0001,21,364438,0,380,0,3771.43,7221.43,3500
1.28182,0.008875,32,400,15,2,0.0001,23,410184,2840,393,1,3686.96,8584.78,2600
2.13972,0,32,400,15,32,0.0002,44,684711,0,391,0,3438.64,8160.23,2400
0.849925,0,32,500,2,2,0.0001,17,271976,0,463,0,4441.18,7444.12,2800
0.837713,0,32,500,2,16,0.0001,19,268068,0,59,0,3915.79,5244.74,2800
0.889828,0,32,500,2,128,0.0001,18,284745,0,385,0,1900,4455.56,1600
1.02465,0,32,500,4,1,0.0001,24,327887,0,484,0,3845.83,4058.33,1700
1.12683,0,32,500,4,2,0.0001,26,360587,0,493,0,3292.31,6190.38,4100
1.45804,0,32,500,4,32,0.0004,45,466572,0,498,0,3140,5922.22,1500
0.971734,0,32,500,4,64,0.0001,18,310955,0,396,0,4000,8397.22,2800
0.964797,0.0111188,32,500,4,128,0.0001,23,308735,3558,483,1,3956.52,6873.91,6000
0.970941,0,32,500,4,256,0.0001,25,310701,0,454,0,3920,6170,3000
1.52036,0,32,500,8,32,0.0002,43,486514,0,486,0,3727.91,7279.07,3700
1.94599,0.013225,32,500,10,1,0.0001,36,622717,4232,498,1,2305.56,5438.89,2400
1.32221,0,32,500,10,4,0.0001,22,423107,0,487,0,2586.36,5156.82,1700
1.27697,0,32,500,10,32,0.0001,26,408630,0,453,0,2215.38,3959.62,2400
1.43271,0,32,500,10,64,0.0001,30,458467,0,490,0,2123.33,4193.33,1300
1.69616,0,32,500,12,16,0.0001,38,542772,0,494,0,3681.58,7121.05,2300
1.31139,0,32,500,12,32,0.0001,22,419644,0,475,0,2963.64,4479.55,3100
1.24869,0,32,500,12,64,0.0001,23,399582,0,497,0,3813.04,9154.35,3000
1.20153,0,32,500,12,256,0.0001,22,384489,0,462,0,2504.55,4763.64,1900
1.17817,0,32,600,5,1,0.0001,24,377013,0,594,0,4116.67,8660.42,3200
0.968641,0,32,600,5,512,0.0002,23,309965,0,511,0,2256.52,4704.35,2200
1.11869,0,32,750,4,1,0.0001,20,357982,0,567,0,3525,6165,3200
1.27391,0,32,750,8,32,0.0001,26,407650,0,743,0,1569.23,2930.77,1500
1.36663,0,32,750,8,64,0.0001,28,437323,0,721,0,1450,2951.79,1400
1.40489,0,32,750,8,256,0.0001,31,449565,0,705,0,1422.58,3388.17,1300
1.68501,0,32,750,8,512,0.0001,35,539202,0,716,0,1451.43,3187.14,1200
1.31782,0,32,800,5,16,0.0001,20,421701,0,630,0,1655,3170,1200
0.871775,0,32,1000,1,2,0.0001,18,278968,0,760,0,1700,2136.11,1400
1.04609,0,32,1000,2,4,0.0001,25,334750,0,929,0,2072,2412,1300
1.20721,0,32,1000,3,1,0.0001,22,386308,0,969,0,1818.18,2538.64,1700
1.50519,0,32,1000,3,1,0.0002,38,481662,0,994,0,2468.42,3113.16,2000
1.11371,0,32,1000,3,2,0.0001,22,356386,0,867,0,1940.91,2713.64,1300
1.06001,0,32,1000,3,4,0.0001,26,339203,0,913,0,2507.69,3382.69,1700
1.46224,0.012875,32,1000,5,1,0.0001,27,467916,4120,982,1,2129.63,3188.89,1600
1.42025,0,32,1000,5,16,0.0001,31,454480,0,997,0,1877.42,2766.13,1700
1.22747,0,32,1000,5,32,0.0001,21,392791,0,843,0,1828.57,3300,1200
1.39598,0,32,1000,5,128,0.0001,32,446713,0,989,0,1953.12,3432.81,1500
1.34089,0,32,1000,6,1,0.0001,26,429084,0,810,0,2530.77,3365.38,1900
0.957216,0,64,100,10,32,0.0001,30,612618,0,62,0,2153.33,2708.33,1600
1.06139,0.0169203,64,100,40,16,0.0001,46,679289,10829,85,1,1919.57,3614.13,1800
1.09545,0,64,250,8,64,0.0001,53,701090,0,249,0,2162.26,3105.66,1400
1.38372,0,64,300,20,1,0.0001,69,885578,0,293,0,2040.58,3484.78,1500
0.927256,0,64,500,2,2,0.0001,35,593444,0,219,0,1862.86,2154.29,1500
0.969578,0,64,500,2,32,0.0001,36,620530,0,396,0,1872.22,2384.72,1200
